Network,N_Nodes,Density,Rigidity,Hidden_Ratio,Target_Bucket,Target_Node,Target_Value,Exact_SDP,Exact_Time_sec,Exact_Peak_Memory_MB_Python,Exact_Peak_Memory_MB_RSS,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Peak_Memory_MB_Python,MCMC_Peak_Memory_MB_RSS,Absolute_Error,PT_MCMC_Mean_SDP,PT_MCMC_Variance,PT_MCMC_Avg_Time_sec,PT_Peak_Memory_MB_Python,PT_Peak_Memory_MB_RSS,PT_Absolute_Error
bn_n20_w6_spread_bias_low.bif,20,6,spread_bias_low,0.25,0.9,X11,1,0.937426196573456,0.016030311584472656,0.2640800476074219,0.0,0.9378,7.655999999999932e-05,1.4861902236938476,0.10289478302001953,0.0,0.0003738034265439172,0.9369999999999999,5.3799999999999424e-05,5.822286057472229,0.26793766021728516,0.0,0.00042619657345610573
bn_n20_w6_spread_bias_low.bif,20,6,spread_bias_low,0.25,1.0,X11,1,0.9676783719132432,0.009626150131225586,0.24222946166992188,0.0,0.9705,2.325000000000004e-05,1.5059940814971924,0.10661792755126953,0.0,0.002821628086756789,0.9680000000000002,3.400000000000006e-05,6.860539054870605,0.2777872085571289,0.0,0.0003216280867569532
bn_n20_w6_spread_bias_low.bif,20,6,spread_bias_low,0.5,0.4,X11,1,0.4162719787486208,0.012275218963623047,0.19423294067382812,0.0,0.41879999999999995,0.00036795999999999997,1.3150878190994262,0.09698200225830078,0.0,0.002528021251379131,0.4182,0.0001687599999999998,5.247375702857971,0.2511329650878906,0.0,0.0019280212513791972
bn_n20_w6_spread_bias_low.bif,20,6,spread_bias_low,0.5,0.5,X11,1,0.5358821986394238,0.01874065399169922,0.2605924606323242,0.0,0.5307999999999999,0.00025615999999999974,1.4512090682983398,0.10695362091064453,0.0,0.0050821986394238294,0.5306,0.0001586400000000003,6.453131890296936,0.2712669372558594,0.0,0.005282198639423807
bn_n20_w6_spread_bias_low.bif,20,6,spread_bias_low,0.5,0.7,X11,1,0.7087798354916816,0.019894123077392578,0.24169445037841797,0.0,0.7139,0.00014389000000000025,1.318702483177185,0.10574054718017578,0.0,0.0051201645083184255,0.7105,0.0002122499999999992,5.3395473003387455,0.23450565338134766,0.0,0.001720164508318467
bn_n20_w6_spread_bias_low.bif,20,6,spread_bias_low,0.5,0.9,X11,1,0.911707834530703,0.019903898239135742,0.2837028503417969,0.0,0.9114000000000001,0.00013024000000000022,1.564386773109436,0.11588001251220703,0.0,0.0003078345307029329,0.914,4.480000000000008e-05,7.222429466247559,0.2959423065185547,0.0,0.002292165469297003
bn_n20_w6_spread_bias_low.bif,20,6,spread_bias_low,0.5,1.0,X11,1,0.9918332924466545,0.015878677368164062,0.24690628051757812,0.0,0.9929,9.290000000000016e-06,1.729042387008667,0.11092853546142578,0.0,0.0010667075533454806,0.9913000000000001,5.41000000000001e-06,7.114366412162781,0.2872323989868164,0.0,0.0005332924466544542
bn_n20_w6_uncertain_moderate.bif,20,6,uncertain_moderate,0.25,0.4,X0,1,0.3609142304984399,0.02169060707092285,0.29622936248779297,0.0,0.3666,9.744000000000016e-05,2.3114613771438597,0.14046955108642578,0.0,0.005685769501560078,0.3677,0.0001746100000000003,9.727513408660888,0.4145212173461914,0.0,0.006785769501560124
bn_n20_w6_uncertain_moderate.bif,20,6,uncertain_moderate,0.25,0.5,X0,1,0.5486715219159761,0.02028179168701172,0.2902412414550781,0.0,0.5553000000000001,0.00014420999999999938,2.519843864440918,0.14953327178955078,0.0,0.006628478084024003,0.5434000000000001,0.00024324000000000042,11.218616199493407,0.4955453872680664,0.0,0.0052715219159760185
bn_n20_w6_uncertain_moderate.bif,20,6,uncertain_moderate,0.25,0.7,X0,1,0.7222562807991896,0.022626638412475586,0.2944526672363281,0.0,0.72,0.0002680000000000005,1.7421111106872558,0.11658191680908203,0.0,0.0022562807991896028,0.7222999999999999,0.0002378100000000004,7.215405392646789,0.3538827896118164,0.0,4.3719200810365955e-05
