threshold,threshold_distance,number_subnetworks,n_hidden,max_partition_size,max_partition_tensor_size,exact_time_sec,exact_peak_memory_mb,exact_success,mcmc_avg_time_sec,mcmc_peak_memory_mb,mcmc_avg_estimate,mcmc_success,pt_avg_time_sec,pt_peak_memory_mb,pt_avg_estimate,pt_success,exact_peak_rss_mb,exact_sdp_result,exact_time_sec_original,exact_peak_memory_mb_original,exact_peak_rss_mb_original,exact_success_original,exact_sdp_result_original,mcmc_error,pt_error
0.5,0.011774296563997366,36,100,21,2097152,0.17845110385678709,288.7480926513672,True,1.0864215929526835,1.3354873657226562,0.6372,True,4.1677713241893795,1.132232666015625,0.6426000000000001,True,826.125,0.6374319947936234,0.6436663009226322,8.184459686279297,0.0,True,0.6374319947936237,0.00023199479362345787,0.0051680052063766135
0.6,0.11177429656399734,36,100,21,2097152,0.17883132002316415,288.74816131591797,True,1.0867123463656754,1.3354873657226562,1.0,True,4.16498493743129,1.1322402954101562,1.0,True,825.625,1.0,0.5252286151517183,8.184459686279297,0.0,True,1.0,0.0,0.0
0.7,0.21177429656399732,36,100,21,2097152,0.17802977515384555,288.74816131591797,True,1.092909799842164,1.3354263305664062,1.0,True,4.178471033880487,1.132232666015625,1.0,True,825.125,1.0,0.5281004889402539,8.184459686279297,0.0,True,1.0,0.0,0.0
0.8,0.3117742965639974,36,100,21,2097152,0.17753548710606992,288.74815368652344,True,1.088250278821215,1.3354263305664062,1.0,True,4.17070259777829,1.1322402954101562,1.0,True,824.625,1.0,0.5274081560783088,8.184459686279297,0.0,True,1.0,0.0,0.0
0.9,0.4117742965639974,36,100,21,2097152,0.173775730188936,288.74816131591797,True,1.0952624067664147,1.3354263305664062,1.0,True,4.158675167663023,1.1322402954101562,1.0,True,824.125,1.0,0.5010552660096437,8.184459686279297,0.0,True,1.0,0.0,0.0
0.5,0.10316379649016472,45,100,10,1024,0.08064931188710034,1.13739013671875,True,1.0774295481853187,1.3421478271484375,0.6927999999999999,True,4.133724270062521,1.139007568359375,0.6925999999999999,True,0.0,0.7061068322258087,0.9732830820139498,10.028002738952637,0.0,True,0.7061068322258078,0.013306832225808862,0.01350683222580884
0.6,0.2031637964901647,45,100,10,1024,0.08028234983794391,1.13739013671875,True,1.0804545963648706,1.3420867919921875,0.9242000000000001,True,4.124923939211294,1.138946533203125,0.9268000000000001,True,0.0,0.9235218335461791,0.7978072890546173,10.027934074401855,0.0,True,0.9235218335461785,0.0006781664538210164,0.003278166453820952
0.7,0.30316379649016467,45,100,10,1024,0.07956759096123278,1.1373825073242188,True,1.0862959926016629,1.3421478271484375,0.9628,True,4.141041142633185,1.1389389038085938,0.958,True,0.0,0.9601563877417749,0.8005961130838841,10.028002738952637,0.0,True,0.9601563877417743,0.00264361225822507,0.0021563877417749566
0.8,0.40316379649016476,45,100,10,1024,0.07094870996661484,1.13739013671875,True,1.0760875530075282,1.3420867919921875,1.0,True,4.137983805779368,1.138946533203125,1.0,True,0.0,1.0,0.6461345951538533,10.028002738952637,0.0,True,1.0,0.0,0.0
0.9,0.5031637964901647,45,100,10,1024,0.07829848700203001,1.13739013671875,True,1.0828892409801483,1.3421478271484375,1.0,True,4.125835760869085,1.138946533203125,1.0,True,0.0,1.0,0.6438720549922436,10.028002738952637,0.0,True,1.0,0.0,0.0
0.5,0.21003397791725564,37,100,18,262144,0.08908288995735347,36.747344970703125,True,1.0732229324057698,1.3471145629882812,1.0,True,4.121129072830081,1.1439285278320312,1.0,True,61.8125,1.0,0.5284419772215188,8.538232803344727,0.0,True,1.0,0.0,0.0
0.6,0.3100339779172556,37,100,18,262144,0.08904974302276969,36.747344970703125,True,1.0762120254337788,1.3470535278320312,1.0,True,4.122174224629998,1.1439285278320312,1.0,True,53.5625,1.0,0.528676139889285,8.538232803344727,0.0,True,1.0,0.0,0.0
0.7,0.4100339779172556,37,100,18,262144,0.09125551697798073,36.747344970703125,True,1.0760367260314525,1.3470535278320312,1.0,True,4.108750950358808,1.1439285278320312,1.0,True,53.5625,1.0,0.5280263070017099,8.538164138793945,0.0,True,1.0,0.0,0.0
0.8,0.5100339779172557,37,100,18,262144,0.08978878613561392,36.747337341308594,True,1.0823327153921127,1.3471145629882812,1.0,True,4.11100864619948,1.1439285278320312,1.0,True,32.9375,1.0,0.5302347538527101,8.538232803344727,0.0,True,1.0,0.0,0.0
0.9,0.6100339779172557,37,100,18,262144,0.09062849800102413,36.747344970703125,True,1.0754343905486166,1.3471145629882812,1.0,True,4.1261225628200915,1.1439285278320312,1.0,True,53.5625,1.0,0.5274626009631902,8.538232803344727,0.0,True,1.0,0.0,0.0
0.5,0.21383784734950484,39,100,11,2048,0.10650522611103952,1.1732177734375,True,1.0625271529890596,1.3778915405273438,0.9358000000000001,True,4.0523393852170555,1.1747817993164062,0.9352,True,0.0,0.9343897261912495,25.10074109490961,9.402398109436035,0.0,True,0.9343897261912497,0.001410273808750584,0.000810273808750539
0.6,0.3138378473495048,39,100,11,2048,0.08022328396327794,1.1732254028320312,True,1.0672067960258573,1.3778915405273438,1.0,True,4.050349989812821,1.1748428344726562,1.0,True,0.0,1.0,0.5783382731024176,9.402329444885254,0.0,True,1.0,0.0,0.0
0.7,0.4138378473495048,39,100,11,2048,0.07862562499940395,1.1732254028320312,True,1.0634220022242515,1.3778915405273438,1.0,True,4.049289242876694,1.1747817993164062,1.0,True,0.0,1.0,0.5763919369783252,9.402398109436035,0.0,True,1.0,0.0,0.0
0.8,0.5138378473495049,39,100,11,2048,0.07864024001173675,1.1732254028320312,True,1.0629792561754585,1.3778305053710938,1.0,True,4.045668880734593,1.1747817993164062,1.0,True,0.0,1.0,0.5623776819556952,9.402398109436035,0.0,True,1.0,0.0,0.0
0.9,0.6138378473495049,39,100,11,2048,0.07928107096813619,1.1732254028320312,True,1.0669885292183607,1.3778305053710938,1.0,True,4.050369660928846,1.174713134765625,1.0,True,0.0,1.0,0.5787333529442549,9.402398109436035,0.0,True,1.0,0.0,0.0
0.5,0.1637648664766297,39,100,12,4096,0.08192184800282121,1.356597900390625,True,1.0770351823419333,1.4185867309570312,1.0,True,4.11851307763718,1.2154464721679688,1.0,True,0.0,1.0,0.5934609959367663,9.056994438171387,0.0,True,1.0,0.0,0.0
0.6,0.26376486647662967,39,100,12,4096,0.08239847305230796,1.356658935546875,True,1.0822524408809842,1.4186477661132812,1.0,True,4.135120063461363,1.2155075073242188,1.0,True,0.0,1.0,0.5834040839690715,9.056994438171387,0.0,True,1.0,0.0,0.0
0.7,0.36376486647662964,39,100,12,4096,0.08216200186870992,1.356597900390625,True,1.0866563952527941,1.4185867309570312,1.0,True,4.142404759814963,1.2154464721679688,1.0,True,0.0,1.0,0.59262166894041,9.056994438171387,0.0,True,1.0,0.0,0.0
0.8,0.46376486647662973,39,100,12,4096,0.0833955209236592,1.3565902709960938,True,1.0846994993742556,1.4186477661132812,1.0,True,4.117444929946214,1.2154464721679688,1.0,True,0.0,1.0,0.5937405419535935,9.056994438171387,0.0,True,1.0,0.0,0.0
0.9,0.5637648664766297,39,100,12,4096,0.08330483781173825,1.3565902709960938,True,1.0817210039589553,1.4186477661132812,1.0,True,4.120648812921718,1.2154464721679688,1.0,True,0.0,1.0,0.5945082260295749,9.056994438171387,0.0,True,1.0,0.0,0.0
0.5,0.24486677776343735,29,100,16,65536,0.08019998483359814,10.689910888671875,True,1.0869449033867569,1.3261642456054688,1.0,True,4.166715707443655,1.1229324340820312,1.0,True,0.0,1.0,0.4202118911780417,6.871411323547363,0.0,True,1.0,0.0,0.0
0.6,0.3448667777634373,29,100,16,65536,0.08003458380699158,10.689910888671875,True,1.088003456639126,1.3261642456054688,1.0,True,4.162817521253601,1.1229324340820312,1.0,True,0.0,1.0,0.41491368715651333,6.871411323547363,0.0,True,1.0,0.0,0.0
0.7,0.4448667777634373,29,100,16,65536,0.08018104312941432,10.689910888671875,True,1.0826567714102566,1.3261642456054688,1.0,True,4.170762395625934,1.1229324340820312,1.0,True,0.0,1.0,0.40402157604694366,6.871411323547363,0.0,True,1.0,0.0,0.0
0.8,0.5448667777634374,29,100,16,65536,0.07973872707225382,10.689971923828125,True,1.0849887778051197,1.3261032104492188,1.0,True,4.160439985431731,1.1229324340820312,1.0,True,0.0,1.0,0.4187973369844258,6.8714799880981445,0.0,True,1.0,0.0,0.0
0.9,0.6448667777634374,29,100,16,65536,0.08323082095012069,10.689910888671875,True,1.0831199693959206,1.3261642456054688,1.0,True,4.152325094025582,1.1229324340820312,1.0,True,0.0,1.0,0.41876863315701485,6.871411323547363,0.0,True,1.0,0.0,0.0
0.5,0.25135268356655005,45,100,9,512,0.07823903695680201,1.1476287841796875,True,1.0530545056331904,1.3522720336914062,1.0,True,4.032961262017489,1.1491775512695312,1.0,True,0.0,0.9999999999999999,0.6293116859160364,10.436034202575684,0.0,True,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-16
0.6,0.35135268356655003,45,100,9,512,0.07929736515507102,1.1476287841796875,True,1.060961080994457,1.352264404296875,1.0,True,4.02186301597394,1.1491851806640625,1.0,True,0.0,0.9999999999999999,0.630122919101268,10.435965538024902,0.0,True,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-16
0.7,0.45135268356655,45,100,9,512,0.07909313892014325,1.1476287841796875,True,1.0524551045615227,1.352264404296875,1.0,True,4.020493040792644,1.1491775512695312,1.0,True,0.0,0.9999999999999999,0.6340550740715116,10.436034202575684,0.0,True,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-16
0.8,0.5513526835665501,45,100,9,512,0.0794581479858607,1.1476287841796875,True,1.0575201008003206,1.352264404296875,1.0,True,4.027581585198641,1.1491851806640625,1.0,True,0.0,0.9999999999999999,0.628161083906889,10.466516494750977,0.0,True,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-16
0.9,0.6513526835665501,45,100,9,512,0.07678884686902165,1.1476211547851562,True,1.0577255399897694,1.352264404296875,1.0,True,4.0176078993827105,1.1491851806640625,1.0,True,0.0,0.9999999999999999,0.6307091058697551,10.436034202575684,0.0,True,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-16
0.5,0.09327240836705841,31,100,14,16384,0.0830570301041007,3.8956298828125,True,1.0734208822250366,1.3752899169921875,0.8493999999999999,True,4.103522653179243,1.1721115112304688,0.8390000000000001,True,0.0,0.8455065907407628,8.199954014038667,7.1357831954956055,0.0,True,0.8455065907407632,0.0038934092592370906,0.006506590740762763
0.6,0.1932724083670584,31,100,14,16384,0.08878664602525532,3.8956222534179688,True,1.0710439913906158,1.3752899169921875,0.9222000000000001,True,4.096857627527788,1.1721115112304688,0.9224,True,0.0,0.9242820566515532,8.151551492977887,7.1357831954956055,0.0,True,0.9242820566515534,0.0020820566515530325,0.0018820566515531656
0.7,0.29327240836705837,31,100,14,16384,0.08052400895394385,3.8956298828125,True,1.0730400739703327,1.3752899169921875,1.0,True,4.1120132397860285,1.172119140625,1.0,True,0.0,1.0,0.4634758778847754,7.1357831954956055,0.0,True,1.0,0.0,0.0
0.8,0.39327240836705846,31,100,14,16384,0.08023768290877342,3.8956298828125,True,1.0735141044016927,1.3752899169921875,1.0,True,4.1042503524106,1.172119140625,1.0,True,0.0,1.0,0.46391247282736003,7.1357831954956055,0.0,True,1.0,0.0,0.0
0.9,0.49327240836705843,31,100,14,16384,0.0792994110379368,3.8956298828125,True,1.075871552620083,1.3752899169921875,1.0,True,4.092332639591769,1.172119140625,1.0,True,0.0,1.0,0.46477297600358725,7.1357831954956055,0.0,True,1.0,0.0,0.0
0.5,0.15593664123483109,39,100,11,2048,0.06074284901842475,1.1810836791992188,True,1.0774176329374314,1.3526763916015625,0.9206,True,4.118604524806142,1.1495590209960938,0.9188000000000001,True,0.0,0.9199735585522638,0.727393375011161,8.864157676696777,0.0,True,0.9199735585522647,0.0006264414477361591,0.0011735585522637537
0.6,0.25593664123483106,39,100,11,2048,0.07956090802326798,1.18115234375,True,1.0721685175318272,1.3527374267578125,1.0,True,4.102069699717686,1.1495590209960938,1.0,True,0.0,1.0,0.5798394051380455,8.864226341247559,0.0,True,1.0,0.0,0.0
0.7,0.35593664123483104,39,100,11,2048,0.07982362015172839,1.1811447143554688,True,1.0784023549873383,1.3526763916015625,1.0,True,4.114416310377419,1.1495590209960938,1.0,True,0.0,1.0,0.5640390908811241,8.864157676696777,0.0,True,1.0,0.0,0.0
0.8,0.45593664123483113,39,100,11,2048,0.0798851849976927,1.18115234375,True,1.0679126017726959,1.3526763916015625,1.0,True,4.099576352350414,1.149566650390625,1.0,True,0.0,1.0,0.5805197961162776,8.864226341247559,0.0,True,1.0,0.0,0.0
0.9,0.5559366412348311,39,100,11,2048,0.07787437899969518,1.18115234375,True,1.0765681680291892,1.3527374267578125,1.0,True,4.116613625781611,1.149566650390625,1.0,True,0.0,1.0,0.5787656800821424,8.864226341247559,0.0,True,1.0,0.0,0.0
0.5,0.25322729907387825,35,100,10,1024,0.07569250697270036,1.1319198608398438,True,1.0661651789676398,1.3365554809570312,1.0,True,4.0595480524469165,1.1334762573242188,1.0,True,0.0,1.0,0.48268406791612506,8.282451629638672,0.0,True,1.0,0.0,0.0
0.6,0.35322729907387823,35,100,10,1024,0.07509322999976575,1.1319198608398438,True,1.0651383180636913,1.3366241455078125,1.0,True,4.081555285211652,1.1334762573242188,1.0,True,0.0,1.0,0.48397111101076007,8.282451629638672,0.0,True,1.0,0.0,0.0
0.7,0.4532272990738782,35,100,10,1024,0.07572165597230196,1.1319198608398438,True,1.0653764979913831,1.3366165161132812,1.0,True,4.067574065644294,1.1334762573242188,1.0,True,0.0,1.0,0.48250150214880705,8.282451629638672,0.0,True,1.0,0.0,0.0
0.8,0.5532272990738782,35,100,10,1024,0.07568585011176765,1.1319198608398438,True,1.0633297286462038,1.3366165161132812,1.0,True,4.083102782908827,1.1335372924804688,1.0,True,0.0,1.0,0.481549829011783,8.282451629638672,0.0,True,1.0,0.0,0.0
0.9,0.6532272990738783,35,100,10,1024,0.07610106584616005,1.1319198608398438,True,1.063815566431731,1.3366241455078125,1.0,True,4.069872585916892,1.1334762573242188,1.0,True,0.0,1.0,0.4843691810965538,8.282451629638672,0.0,True,1.0,0.0,0.0
0.5,0.017582378331546633,41,100,16,65536,0.11476041306741536,9.78216552734375,True,1.0664730411954224,1.402679443359375,0.6113999999999999,True,4.092345764720813,1.1995925903320312,0.6117999999999999,True,0.0,0.6181743048365469,32.995559200877324,9.441386222839355,0.0,True,0.6181743048365469,0.006774304836546952,0.006374304836546996
0.6,0.11758237833154661,41,100,16,65536,0.1201229349244386,9.78216552734375,True,1.1180772500578313,1.402740478515625,0.7318,True,4.093428557179868,1.1995925903320312,0.7282,True,0.0,0.7305245971126363,32.88924435293302,9.441454887390137,0.0,True,0.7305245971126363,0.001275402887363719,0.0023245971126363285
0.7,0.2175823783315466,41,100,16,65536,0.12390202493406832,9.782157897949219,True,1.0974193844012916,1.4027481079101562,1.0,True,4.118177809473127,1.1995925903320312,1.0,True,0.0,1.0,0.663638771045953,9.441386222839355,0.0,True,1.0,0.0,0.0
0.8,0.3175823783315467,41,100,16,65536,0.10862902016378939,9.782157897949219,True,1.0901546916458755,1.402740478515625,1.0,True,4.091903546173126,1.1995925903320312,1.0,True,0.0,1.0,0.6224033320322633,9.441386222839355,0.0,True,1.0,0.0,0.0
0.9,0.41758237833154666,41,100,16,65536,0.10626193881034851,9.782096862792969,True,1.082969287224114,1.402740478515625,1.0,True,4.078202899266034,1.1995315551757812,1.0,True,0.0,1.0,0.638579981867224,9.441386222839355,0.0,True,1.0,0.0,0.0
0.5,0.04272889615840891,32,100,20,1048576,0.1441576301585883,144.7471694946289,True,1.1005265780258924,1.3440093994140625,0.5715999999999999,True,4.13683505137451,1.1407394409179688,0.554,True,397.1875,0.5619984006184994,0.7665289309807122,7.206744194030762,0.0,True,0.5619984006184994,0.009601599381500514,0.007998400618499324
0.6,0.1427288961584089,32,100,20,1048576,0.14668512297794223,144.7471694946289,True,1.0943606744054706,1.3440093994140625,0.8404,True,4.195673976792023,1.1407394409179688,0.851,True,396.6875,0.8534476294599429,0.5981038808822632,7.177417755126953,0.0,True,0.853447629459943,0.013047629459942867,0.002447629459942924
