Network,N_Nodes,Density,Rigidity,Hidden_Ratio,Target_Bucket,Target_Node,Target_Value,Exact_SDP,Exact_Time_sec,Exact_Peak_Memory_MB_Python,Exact_Peak_Memory_MB_RSS,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Peak_Memory_MB_Python,MCMC_Peak_Memory_MB_RSS,Absolute_Error,PT_MCMC_Mean_SDP,PT_MCMC_Variance,PT_MCMC_Avg_Time_sec,PT_Peak_Memory_MB_Python,PT_Peak_Memory_MB_RSS,PT_Absolute_Error
bn_n20_w6_concentrated_bias_low.bif,20,6,concentrated_bias_low,0.5,0.8,X13,1,0.759156479224467,0.015122175216674805,0.25520801544189453,0.0,0.7539999999999999,0.00012280000000000022,1.430761981010437,0.1118459701538086,0.0,0.005156479224467159,0.7590999999999999,8.289000000000015e-05,6.203891634941101,0.2616300582885742,0.0,5.6479224467165245e-05
bn_n20_w6_rigid_extreme.bif,20,6,rigid_extreme,0.25,0.6,X13,1,0.6135840879338434,0.014747858047485352,0.2881898880004883,0.0,0.6201000000000001,0.00016989000000000029,1.6756842613220215,0.1147603988647461,0.0,0.006515912066156648,0.6048999999999999,8.289000000000015e-05,6.986095881462097,0.31078624725341797,0.0,0.008684087933843565
bn_n20_w6_rigid_extreme.bif,20,6,rigid_extreme,0.25,0.8,X13,1,0.7820398167524807,0.015989303588867188,0.27165794372558594,0.0,0.7813000000000001,0.0001664100000000003,1.5006484031677245,0.10678768157958984,0.0,0.0007398167524805821,0.7753,0.00016461000000000028,6.265684604644775,0.27897167205810547,0.0,0.0067398167524806984
bn_n20_w6_rigid_extreme.bif,20,6,rigid_extreme,0.5,0.6,X13,1,0.6481794874748216,0.015088796615600586,0.2444744110107422,0.0,0.6514000000000001,0.00022264000000000043,1.511854314804077,0.1108083724975586,0.0,0.0032205125251785205,0.6486000000000001,0.00011244000000000022,6.325102353096009,0.2812376022338867,0.0,0.0004205125251784958
bn_n20_w6_rigid_extreme.bif,20,6,rigid_extreme,0.5,0.8,X13,1,0.8238107195203267,0.015103340148925781,0.2242889404296875,0.0,0.8198000000000001,0.00019215999999999922,1.3445495128631593,0.09757137298583984,0.0,0.004010719520326611,0.8195,0.00010864999999999967,5.536396527290345,0.24663066864013672,0.0,0.004310719520326689
bn_n20_w6_rigid_moderate.bif,20,6,rigid_moderate,0.25,0.6,X14,1,0.6273559737352943,0.01570868492126465,0.2734661102294922,0.0,0.6269999999999999,3.660000000000006e-05,1.4650569677352905,0.1050558090209961,0.0,0.00035597373529439036,0.6293000000000001,0.0002780100000000005,6.2353356122970585,0.2838468551635742,0.0,0.0019440262647058004
bn_n20_w6_rigid_moderate.bif,20,6,rigid_moderate,0.25,0.8,X14,1,0.7555190366017588,0.01623845100402832,0.2924013137817383,0.0,0.7617,0.0002542100000000005,1.901382279396057,0.12697505950927734,0.0,0.006180963398241257,0.7598,2.536000000000005e-05,8.146501040458679,0.3676023483276367,0.0,0.004280963398241244
bn_n20_w6_rigid_moderate.bif,20,6,rigid_moderate,0.5,0.6,X14,1,0.6151427714280379,0.01853775978088379,0.3113832473754883,0.0,0.6187,0.0002250100000000004,1.7639497518539429,0.1244955062866211,0.0,0.0035572285719621677,0.6176,0.00029764000000000055,7.543958592414856,0.33016490936279297,0.0,0.002457228571962178
bn_n20_w6_rigid_moderate.bif,20,6,rigid_moderate,0.5,0.8,X14,1,0.7970911849355798,0.02017951011657715,0.3103609085083008,0.0,0.7998000000000001,0.0002515599999999997,2.245191502571106,0.13169002532958984,0.0,0.0027088150644202225,0.8006,0.00014463999999999992,9.566642093658448,0.40412235260009766,0.0,0.0035088150644201344
bn_n20_w6_spread_bias_high.bif,20,6,spread_bias_high,0.25,0.6,X2,1,0.584292921778325,0.01690196990966797,0.28815174102783203,0.0,0.5891,0.0001050900000000002,1.8316679000854492,0.1190938949584961,0.0,0.004807078221674921,0.583,0.0002288000000000004,7.807786059379578,0.34693431854248047,0.0,0.0012929217783250735
