Network,N_Nodes,Density,Rigidity,Hidden_Ratio,Target_Bucket,Target_Node,Target_Value,Exact_SDP,Exact_Time_sec,Exact_Peak_Memory_MB,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Peak_Memory_MB,Absolute_Error,PT_MCMC_Mean_SDP,PT_MCMC_Variance,PT_MCMC_Avg_Time_sec,PT_Peak_Memory_MB,PT_Absolute_Error
bn_n50_w2_spread_bias_high.bif,50,2,spread_bias_high,0.25,0.4,X2,1,0.43331910799921713,0.02723097801208496,0.42004871368408203,0.4346,0.0003730399999999995,1.0942096948623656,0.10390758514404297,0.0012808920007828517,0.4465,0.00018825000000000005,4.64629225730896,0.20680904388427734,0.013180892000782873
bn_n50_w2_spread_bias_high.bif,50,2,spread_bias_high,0.25,0.5,X2,1,0.5015239677596274,0.031517982482910156,0.4236116409301758,0.4967,6.601000000000011e-05,0.932750940322876,0.09593486785888672,0.004823967759627401,0.4985999999999999,0.00031484000000000053,3.9496837139129637,0.18875789642333984,0.0029239677596274993
bn_n50_w2_spread_bias_high.bif,50,2,spread_bias_high,0.25,0.6,X2,1,0.60042814811817,0.029021024703979492,0.4276885986328125,0.6031000000000001,0.00016369000000000027,0.9414969444274902,0.09515666961669922,0.0026718518818300563,0.6086,2.1240000000000037e-05,3.9781911373138428,0.2171001434326172,0.008171851881830006
bn_n50_w2_spread_bias_high.bif,50,2,spread_bias_high,0.25,0.7,X2,1,0.7117822161723448,0.03238368034362793,0.4313812255859375,0.7083,0.0002098099999999993,1.0640538215637207,0.09955883026123047,0.0034822161723447875,0.7121000000000001,0.00013289000000000025,4.513230991363526,0.20642757415771484,0.00031778382765523805
bn_n50_w2_spread_bias_high.bif,50,2,spread_bias_high,0.25,0.8,X2,1,0.8474978403635172,0.02835226058959961,0.4102325439453125,0.8456999999999999,5.8210000000000095e-05,1.1552040338516236,0.09865093231201172,0.0017978403635172668,0.8465,0.00014185000000000025,4.975892972946167,0.2243947982788086,0.000997840363517133
bn_n50_w2_spread_bias_high.bif,50,2,spread_bias_high,0.25,0.9,X2,1,0.9230040529892396,0.02797675132751465,0.3992919921875,0.9236000000000001,8.064000000000015e-05,0.9521408557891846,0.09743785858154297,0.0005959470107604892,0.9183999999999999,3.064000000000006e-05,4.037080764770508,0.1817159652709961,0.004604052989239715
bn_n50_w2_spread_bias_high.bif,50,2,spread_bias_high,0.25,1.0,X2,1,1.0,0.03043222427368164,0.3880615234375,1.0,0.0,0.8936484098434448,0.09344005584716797,0.0,1.0,0.0,3.756409025192261,0.1778402328491211,0.0
bn_n50_w2_uncertain_moderate.bif,50,2,uncertain_moderate,0.25,0.5,X13,1,0.5028190009562248,0.026453256607055664,0.4293642044067383,0.49589999999999995,0.00044189000000000034,1.055823016166687,0.10114574432373047,0.00691900095622483,0.4984,0.00019924000000000032,4.417430138587951,0.2096700668334961,0.004419000956224772
bn_n50_w2_uncertain_moderate.bif,50,2,uncertain_moderate,0.25,0.6,X13,1,0.5899787568534797,0.02663254737854004,0.39215850830078125,0.5961,0.00033669000000000055,1.1486328125,0.10695934295654297,0.006121243146520294,0.5916999999999999,0.0002768100000000005,4.805714511871338,0.2251272201538086,0.0017212431465202238
bn_n50_w2_uncertain_moderate.bif,50,2,uncertain_moderate,0.25,0.7,X13,1,0.7207641430537841,0.027028560638427734,0.42282867431640625,0.7201,0.00038069000000000064,1.0012218475341796,0.09799480438232422,0.0006641430537841497,0.7222999999999999,0.00014441000000000025,4.258207702636719,0.2010946273803711,0.00153585694621583
bn_n50_w2_uncertain_moderate.bif,50,2,uncertain_moderate,0.25,0.8,X13,1,0.8249504835056749,0.028613805770874023,0.405029296875,0.8262,7.596000000000012e-05,1.0056920051574707,0.09996318817138672,0.0012495164943251424,0.8220999999999998,0.0001060899999999994,4.371707558631897,0.1984395980834961,0.002850483505675072
bn_n50_w2_uncertain_moderate.bif,50,2,uncertain_moderate,0.25,0.9,X13,1,0.8547566649602514,0.031332969665527344,0.425384521484375,0.8507999999999999,0.00013216000000000025,1.3734886407852174,0.11114788055419922,0.003956664960251488,0.8609,7.909000000000015e-05,5.67365984916687,0.24883556365966797,0.006143335039748621
bn_n50_w2_uncertain_moderate.bif,50,2,uncertain_moderate,0.25,1.0,X13,1,1.0,0.030329227447509766,0.393951416015625,1.0,0.0,1.1820417881011962,0.10341167449951172,0.0,1.0,0.0,4.90926604270935,0.2225332260131836,0.0
bn_n50_w2_spread_bias_low.bif,50,2,spread_bias_low,0.25,0.4,X28,1,0.3856460672458363,0.02598857879638672,0.4277811050415039,0.3946,0.00012703999999999987,1.019192385673523,0.10126781463623047,0.00895393275416373,0.38949999999999996,0.00014424999999999982,4.287974405288696,0.19943904876708984,0.0038539327541636803
bn_n50_w2_spread_bias_low.bif,50,2,spread_bias_low,0.25,0.5,X28,1,0.5372585230197997,0.03062915802001953,0.47486114501953125,0.5441,0.00048368999999999886,1.0491214752197267,0.10131359100341797,0.006841476980200323,0.5396000000000001,0.00018883999999999972,4.397263979911804,0.22615623474121094,0.0023414769802003743
bn_n50_w2_spread_bias_low.bif,50,2,spread_bias_low,0.25,0.6,X28,1,0.6465174088003471,0.03363394737243652,0.440643310546875,0.6453,0.0001662100000000003,1.1049159526824952,0.10280895233154297,0.0012174088003471528,0.6437,0.00011741000000000022,4.53737485408783,0.21362972259521484,0.0028174088003470876
bn_n50_w2_spread_bias_low.bif,50,2,spread_bias_low,0.25,0.7,X28,1,0.7130020178328513,0.03254580497741699,0.48116302490234375,0.7138,0.0001215600000000002,1.241763186454773,0.10839366912841797,0.0007979821671486587,0.7092,0.0001635600000000003,5.222958016395569,0.2335958480834961,0.003802017832851279
bn_n50_w2_spread_bias_low.bif,50,2,spread_bias_low,0.25,0.8,X28,1,0.76515299474551,0.031105995178222656,0.42682361602783203,0.7662,7.716000000000014e-05,1.1296083450317382,0.10338878631591797,0.0010470052544899744,0.7647999999999999,0.0001201600000000002,4.612749838829041,0.2076406478881836,0.00035299474551009347
bn_n50_w2_spread_bias_low.bif,50,2,spread_bias_low,0.25,0.9,X28,1,0.9280864473477324,0.026974916458129883,0.4262514114379883,0.9288000000000001,2.415999999999984e-05,0.999226975440979,0.09886455535888672,0.0007135526522676905,0.9275,6.624999999999983e-05,4.144717359542847,0.1932210922241211,0.0005864473477323884
bn_n50_w2_spread_bias_low.bif,50,2,spread_bias_low,0.25,1.0,X28,1,1.0,0.033936262130737305,0.4651336669921875,1.0,0.0,1.2524928808212281,0.10418224334716797,0.0,1.0,0.0,5.183156037330628,0.2322835922241211,0.0
bn_n50_w2_uncertain_strong.bif,50,2,uncertain_strong,0.25,0.4,X2,1,0.39065480574201605,0.02499532699584961,0.40814971923828125,0.386,0.0003484000000000002,0.9430099964141846,0.09286022186279297,0.004654805742016044,0.3841,6.109000000000011e-05,3.874070429801941,0.1831808090209961,0.006554805742016057
bn_n50_w2_uncertain_strong.bif,50,2,uncertain_strong,0.25,0.5,X2,1,0.5481386284508191,0.026546239852905273,0.46358489990234375,0.5499,0.0002196899999999996,1.1307677984237672,0.10238933563232422,0.00176137154918099,0.5442000000000001,0.00023875999999999983,4.707388877868652,0.2117757797241211,0.003938628450818937
bn_n50_w2_uncertain_strong.bif,50,2,uncertain_strong,0.25,0.6,X2,1,0.5743016472635635,0.031373023986816406,0.425079345703125,0.5763,0.00037600999999999916,1.051114273071289,0.09880352020263672,0.0019983527364365594,0.5756,0.00019763999999999971,4.395210123062133,0.23709678649902344,0.0012983527364365255
bn_n50_w2_uncertain_strong.bif,50,2,uncertain_strong,0.25,0.7,X2,1,0.7174088347744542,0.02973651885986328,0.42437744140625,0.7164999999999999,0.00010545000000000016,1.1588810920715331,0.09958934783935547,0.000908834774454248,0.7104999999999999,7.145000000000014e-05,4.74005274772644,0.2470073699951172,0.006908834774454253
